LocationID,Long,Lat
298,4.701017,50.867302
299,4.715601,50.881375
300,4.941754,50.805229
301,4.987298,50.891338
302,4.975918,51.03246
303,5.074092,51.012601
304,4.987935,51.001326
305,4.687573,50.879753
306,4.606536,50.739234
307,4.925636,50.808231
308,4.625238,50.903244
309,4.707277,50.867658
310,5.047342,50.979652
311,4.947336,50.919376
312,4.554634,50.839728
313,5.054792,50.986421
314,4.789147,50.851013
315,4.834692,50.981265
316,4.431718,50.77728
317,4.69735,50.863905
318,4.960258,50.799925
319,4.72172,50.871871
320,4.610563,50.88001
321,5.062977,50.983191
322,4.697693,50.881392
323,4.701967,50.879725
324,4.803676,50.938638
325,4.704538,50.86001
326,4.791216,50.858908
327,4.838656,50.844649
328,4.941203,50.805716
329,4.710855,50.865126
330,4.927062,50.816026
331,4.707542,50.86704
332,4.660177,50.872122
333,4.70296,50.878112
334,4.75481,50.89753
335,4.710854,50.862356
336,4.759767,50.827474
337,4.71475,50.864196
338,4.714419,50.870777
339,4.937805,50.933396
340,4.716932,50.91694
341,4.590126,50.908379
342,4.948318,50.772504
343,4.70291,50.878699
344,4.704447,50.86188
345,5.055084,50.979754
346,5.067851,50.993882
347,4.7059,50.879857
348,4.712415,50.884658
349,4.668225,50.886795
350,4.686789,50.881977
351,4.704777,50.856668
352,4.729268,50.87914
353,4.897027,50.975215
354,4.708897,50.881014
355,4.959048,50.870527
356,4.694051,50.876383
357,4.704721,50.877443
358,4.556499,50.994212
359,4.960605,50.797352
360,4.571065,50.87817
361,4.71185,50.978562
362,4.556192,50.992392
363,4.707814,50.868661
364,4.696152,50.873092
365,4.908461,50.776471
366,4.819044,51.00613
367,4.688874,50.883813
368,4.693503,50.882819
369,4.720773,50.890529
370,4.666866,50.911898
371,4.700431,50.877305
372,4.710389,50.862504
373,4.684046,50.880248
374,4.496697,50.826189
375,4.725865,50.881751
376,4.853088,50.940321
377,4.701093,50.874874
378,5.053506,50.986379
379,4.692602,50.860618
380,4.800715,50.972129
381,4.729921,50.889333
382,4.861185,50.904959
383,4.659626,50.821058
384,4.70597,50.879179
385,4.551738,50.815821
386,4.704013,50.860156
387,4.833267,50.841879
388,4.722297,50.930948
389,4.712164,50.865384
390,4.642438,50.897979
391,5.049835,50.984509
392,5.05103,50.985757
393,4.837059,50.984747
394,4.754539,50.954442
395,4.918365,50.808671
396,4.886787,50.773689
397,4.446088,50.812216
398,4.690728,50.827301
399,5.012355,50.951499
400,4.705116,50.881787
401,4.698058,50.879746
402,4.715711,50.881307
403,4.69639,50.865263
404,4.702078,50.86972
405,4.720387,50.85741
406,4.703519,50.856527
407,4.710498,50.880388
408,4.842251,50.838066
409,4.896183,50.772993
410,4.73109,50.883633
411,4.707625,50.863999
412,5.050739,50.984221
413,4.614329,50.751852
414,4.700911,50.855621
415,5.051051,50.983089
416,4.835934,50.81105
417,4.63346,50.922954
418,4.625308,50.864375
419,4.54692,50.984619
420,4.699666,50.881154
421,4.699841,50.881126
422,4.712475,50.868859
423,4.98967,51.004895
424,4.603701,50.769918
425,4.732582,50.933396
426,5.067552,50.752664
427,4.67571,50.902353
428,4.583744,50.789012
429,4.755784,50.950135
430,4.701777,50.87868
431,4.914431,50.859518
432,4.704278,50.860013
433,4.707802,50.880667
434,4.706654,50.995337
435,4.708589,50.865219
436,5.044897,50.990541
437,4.638434,50.976231
438,4.700091,50.877597
439,4.682475,50.90593
440,4.990791,50.875064
441,4.943369,50.820696
442,4.647216,51.009518
443,4.756843,50.920286
444,5.122496,51.011887
445,4.582994,50.961676
446,4.91053,50.83608
447,5.09607,51.039481
448,4.723428,50.875762
449,5.011866,50.893018
450,4.7028,50.82393
451,4.719543,50.885629
452,4.861729,50.834841
453,4.542051,50.885378
454,4.758721,50.827687
455,4.817346,50.982596
456,4.836113,50.844342
457,4.69634,50.862784
458,5.040927,50.86548
459,4.708798,50.91048
460,4.793441,50.871007
461,4.699691,50.879024
462,4.789686,50.87463
463,5.017001,50.956211
464,4.879555,50.962674
